"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","14 POST /todos (413) - content too long","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","4439","Пользователь может оставить комментарий под статьёй","UI Tests","Mon Nov 10 17:12:22 UTC 2025","passed","Mon Nov 10 17:12:26 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
"","26","32 POST /todos JSON - create todo in JSON format","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","13","15 POST /todos (400) - extra field","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","11","41DELETE /heartbeat (405) - DELETE request returns 405","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","17","03 GET /todos (200) - получить список todos задач","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","14","04 GET /todo (404) not plural - получить 404 при вызове /todo","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","62","07 GET /todos (200) ?filter - получить список выполненных задач","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","27","02 GET /challenges (200) - получить список challenge задач","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","15","27 GET /todos (200) ANY - get todos in default format","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","15","16 PUT /todos/{id} (400) - attempt to create with PUT","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","11","42PATCH /heartbeat (500) - PATCH request returns 500","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","22","12 POST /todos (400) - description too long","API Tests","Mon Nov 10 17:12:16 UTC 2025","passed","Mon Nov 10 17:12:16 UTC 2025","Challenge API","api/apihw.spec.js","",""
