"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","26 GET /todos (200) JSON - get todos in JSON format","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","29","16 PUT /todos/{id} (400) - attempt to create with PUT","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","27","44GET /heartbeat (204) - GET request returns 204","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","63","20 PUT /todos/{id} partial (400) - no title field","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","30","31 POST /todos XML - create todo in XML format","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","28","25 GET /todos (200) XML - получить список todos задач в формате XML","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","434","58 DELETE /todos/{id} (200) all - delete all todos","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:37 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","112","07 GET /todos (200) ?filter - получить список выполненных задач","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","3680","Пользователю доступны табы Your Feed, Global Feed после регистрации","UI Tests","Mon Nov 10 16:02:52 UTC 2025","passed","Mon Nov 10 16:02:56 UTC 2025","Главная страница","ui/mainPage.spec.js","",""
"","25","42PATCH /heartbeat (500) - PATCH request returns 500","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","4452","Пользователь может оставить комментарий под статьёй","UI Tests","Mon Nov 10 16:02:43 UTC 2025","passed","Mon Nov 10 16:02:47 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
"","32","03 GET /todos (200) - получить список todos задач","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","3856","Пользователь может обновить имя и почту в профиле","UI Tests","Mon Nov 10 16:02:56 UTC 2025","passed","Mon Nov 10 16:02:59 UTC 2025","Обновление профиля","ui/profile.spec.js","",""
"","53","17 POST /todos/{id} (200) - partial update","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","29","11 POST /todos (400) - title too long","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","28","33 POST /todos (415) - unsupported media type","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","28","13 POST /todos (201) - max out content","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","52","09 POST /todos (201) - создать новую задачу","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","27","12 POST /todos (400) - description too long","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","29","27 GET /todos (200) ANY - get todos in default format","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","63","19 PUT /todos/{id} full (200) - full update","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","28","06 GET /todos/{id} (404) - получить 404 для несуществующей задачи","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","29","14 POST /todos (413) - content too long","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","29","15 POST /todos (400) - extra field","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","33","28 GET /todos (200) XML pref - get todos in XML format with preference","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","28","05 GET /todos/{id} (200) - получить todo по id","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","74","23 DELETE /todos/{id} (200) - delete todo","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","26","41DELETE /heartbeat (405) - DELETE request returns 405","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","4348","Пользователь может удалить статью","UI Tests","Mon Nov 10 16:02:48 UTC 2025","passed","Mon Nov 10 16:02:52 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
"","43","10 POST /todos (400) - fail validation on doneStatus field","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","52","02 GET /challenges (200) - получить список challenge задач","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","27","04 GET /todo (404) not plural - получить 404 при вызове /todo","API Tests","Mon Nov 10 16:02:35 UTC 2025","passed","Mon Nov 10 16:02:35 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","28","18 POST /todos/{id} (404) - update non-existent todo","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","52","32 POST /todos JSON - create todo in JSON format","API Tests","Mon Nov 10 16:02:36 UTC 2025","passed","Mon Nov 10 16:02:36 UTC 2025","Challenge API","api/apihw.spec.js","",""
"","4564","Пользователь может создать новую статью","UI Tests","Mon Nov 10 16:02:37 UTC 2025","passed","Mon Nov 10 16:02:42 UTC 2025","Действия со статьёй","ui/article.spec.js","",""
